Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
HomeLane,Interior Design,Series D,30000000,Chennai,Provides interior designing solutions,2019-01-01
Nu Genes,Agritech,Series A,6000000,Telangana,"It is a seed company engaged in production, processing and marketing of seeds",2019-01-01
FlytBase,Technology,Series A,3000000,Pune,A drone automation platform,2019-01-01
Finly,Saas,Series A,3000000,Bangalore,"It builds software products that makes work simpler, pleasant, and productive",2019-01-01
Kratikal,Technology,Pre-Series A,1000000,Noida,It is a product-based cybersecurity solutions provider,2019-01-01
Quantiphi,Ai & Tech,Series A,20000000,Bangalore,It is an AI and big data services company providing business solutions.,2019-01-01
Lenskart,E-Commerce,Series G,275000000,Delhi,It is a eyewear company,2019-01-01
Cub McPaws,E-Commerce & Ar,Series A,3000000,Mumbai,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,2019-01-01
Appnomic,Saas,Series A,22000000,Bangalore,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",2019-01-01
Kaleidofin,Fintech,Series A,5000000,Chennai,Platform that provides complete financial solutions for excluded individuals and households,2019-01-01
JobSquare,Hr Tech,Series A,140500,Ahmedabad,Technology-based platform that is connecting suitable applicants to the right recruiters,2019-01-01
Open Secret,Food Tech,Series A,3000000,Bangalore,It produces and sells top quality snacks,2019-01-01
LivFin,Fintech,Series A,5000000,Delhi,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",2019-01-01
Byju's,Edtech,Series A,540000000,Bangalore,Provides online learning classes,2019-01-01
Zest Money,Fintech,Series B,15000000,Bangalore,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,2019-01-01
Witblox,Edtech,Series A,182700,Bangalore,Offers a range of robotics learning tools,2019-01-01
Azah Personal Care Pvt. Ltd.,Health,Pre-Series A,3000000,Gurugram,Aims to solve some problems in the feminine hygiene sector,2019-01-01
SalaryFits,Fintech,Series A,5000000,Bangalore,A platform that promotes financial well-being of employees at workplace,2019-01-01
Pristyn Care,Healthcare,Series B,12000000,Bangalore,Delivers advanced medical care & clinical excellence aided by next-level technology,2019-01-01
Springboard,Edtech,Post series A,11000000,Bangalore,Offers online courses and extensive mentor-based learning,2019-01-01
DROR Labs Pvt. Ltd,Safety Tech,Series A,3000000,Delhi,It uses technology to create a trust-based network of responsible citizens to ensure safety,2019-01-01
Medlife,Pharmaceutical,Series A,15500000,Bangalore,It solves inadequacies in the healthcare delivery system through technology,2019-01-01
Seekify,Saas,Seed Funding,1500000,Delhi,Customer Experience (CX) Automation platform,2019-01-01
Toffee Insurance,Insurance Technology,Series A,5500000,Haryana,Provides variety of insurance plans and policies,2019-01-01
Fireflies .ai,Ai,Series A,5000000,Bangalore,Developer of an artificial intelligence-powered assistant for businesses,2019-01-01
HungerBox,Foodtech,Series C,12000000,Bangalore,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",2019-01-01
Bijak,Agritech,Seed fund,2500000,Bangalore,B2B platform for agricultural commodities.,2019-01-01
Licious,Food Industry,Series E,30000000,Bangalore,Online meat shop,2019-01-01
truMe,Iot,Series A,140000,Bangalore,A global platform for Identity and Access Management,2019-01-01
Pumpkart,E-Marketplace,Series A,3000000,Chandigarh,B2B model for appliances and electrical products,2019-01-01
Asteria Aerospace,Robotics & Ai,Series A,230000000,Bangalore,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",2019-01-01
Rivigo,Logistics,Series F,20000000,Bangalore,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",2019-01-01
HappyEasyGo,Travel,Series B+,49400000,Gurugram,Online flight booking,2019-01-01
Zetwerk,Manufacturing,Series B,32000000,Bangalore,Provides facilities to get products manufactured.,2019-01-01
Observe.AI,Ai,Series A,26000000,Bangalore,Creates a voice AI platform,2019-01-01
Freshokartz,E-Marketplace,Pre-Series A,150000,Jaipur,Online fruits and vegetables delivery company,2019-01-01
Lil’ Goodness and sCool meal,Food & Nutrition,Series A,400000,Bangalore,It empowers moms to provide the best of foods to their Lil' ones,2019-01-01
Trell,Social Media,Pre-Series A,2000000,Bangalore,Blogging platform that enables people to create visual collections of their travel and local experiences,2019-01-01
VMate,Edtech,Series A,100000000,Bangalore,A short video platform,2019-01-01
Bombay Shirt Company,E-Commerce,Series A,8000000,Mumbai,Online custom shirt brand,2019-01-01
Slintel,Saas,Series A,1500000,Bangalore,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",2019-01-01
MyGameMate,E-Sports,Series A,100000,Bangalore,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,2019-01-01
Afinoz,Fintech,Series A,3000000,Noida,Online financial marketplace for customized rate quotes on loans and investment products in India,2019-01-01
Rein Games,Technology,Pre-Series A,50000000,Noida,"It develops, publishes and distributes games across various platforms",2019-01-01
Ecozen,Agritech,Series A,6000000,Pune,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,2019-01-01
Box8,Foodtech,Series A,120000000,Mumbai,Enables to order food online,2019-01-01
Awign Enterprises,Edtech,Series A,4000000,Bangalore,It supplies workforce to the economy,2019-01-01
Purplle,Cosmetics,Series C,30000000,Mumbai,Online makeup and beauty products retailer,2019-01-01
Freightwalla,B2B,Series A,4000000,Mumbai,Provides digital platform for businesses to plan and manage their international freight shipments online,2019-01-01
TapChief,Edtech,Pre-Series A,1500000,Bangalore,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,2019-01-01
eJOHRI,Jewellery,Pre-Series A,1000000,Mumbai,Omnichannel marketplace for gems and jewellery,2019-01-01
Ninjacart,B2B,Series A,3000000,Bangalore,"It connects producers of food directly to retailers, restuarants and service providers.",2019-01-01
Binca Games,Games,Series A,3000000,Mumbai,It offers games that are available across India and UK.,2019-01-01
KredX,Edtech,Series B,26000000,Bangalore,Invoice discounting platform,2019-01-01
m.Paani,Edtech,Series A,5500000,Mumbai,It digitizes and organises local retailers,2019-01-01
Origo,Agritech,Series A,6800000,Gurugram,It provides post-harvest management services for agricultural commodities,2019-01-01
WishADish,Food & Tech,Series A,6000000,Delhi,Provides management solution for restaurants,2019-01-01
Ecom Express,Logistics,Series A,36000000,Gurugram,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,2019-01-01
Stanza Living,Accomodation,Series A,5700000,Delhi,Provides comfortable and secure accomodation for students,2019-01-01
PiBeam,Automotive Tech,Series A,50000000,Chennai,It is engaged in building sustainable and affordable micro-mobility electric vehicles,2019-01-01
Euler Motors,Automotive Tech,Series A,2000000,Delhi,It is offering mobility as a service,2019-01-01
Moms Co,E-Commerce,Series B,5000000,New Delhi,It is into mother and baby care-focused consumer goods,2019-01-01
Cubical Labs,Iot,Series B,3000000,Bangalore,Home automation solution provider,2019-01-01
Lawyered,Legal Tech,Series A,100000,Delhi,It helps to connect to legal advise online,2019-01-01
Cuemath,Edtech,Series A,5500000,Bangalore,It helps students to learn math online,2019-01-01
Licious,Food Industry,Series D,25000000,Bangalore,Online meat shop,2019-01-01
Nivesh.com,Mutual Funds,Series A,600000,Noida,The platform simplifies the process of investment,2019-01-01
Zebu,Cybersecurity,Seed,4000000,Bangalore,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",2019-01-01
Smart Institute,Edtech,Series A,1500000,Surat,A platform to learn online,2019-01-01
CarDekho,Automobile,Series D,70000000,Jaipur,Enables people to buy and sell new/old cars.,2019-01-01
Shadowfax,Logistics,Series D,60000000,Bangalore,A platform for delivery services,2019-01-01
Credr,Automobile,Series A,6000000,Mumbai,A marketplace to buy and sell used bikes and scooters,2019-01-01
Sportido,Sports,Series B,3000000,Noida,It is a sports discovery app that helps to find people and places to play 700+ sports,2019-01-01
Phable,Healthtech,Series A,220000,Bangalore,"It creates an engagement loop between doctors, hospitals, and patients via its app",2019-01-01
Sarva,Yoga & Wellness,Series A,2800000,Chennai,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2019-01-01
IndyFint,Virtual Banking,Series A,2100000,Bangalore,"It helps lenders to directly provide short-term loans to merchants, employees, and students",2019-01-01
Zolostays,Accomodation,Series A,7000000,Bangalore,It offers affordable housing apartments to young professionals and students,2019-01-01
Ola,Logistics & Supply Chain,Series A,311000000,Bangalore,It enables one to book cab online,2019-01-01
Zoomcar,Transport & Rentals,Series A,4800000,Bangalore,A car rental service platform,2019-01-01
Kratikal,Technology,Pre-Series A,1000000,Uttar pradesh,Provides cyber security solutions,2019-01-01
Froogal,Marketing & Customer Loyalty,Pre-Series A,1000000,Hyderabad,A cloud based Customer Loyalty & Engagement Platform,2019-01-01
Infra.Market,Infratech,Series A,20000000,Mumbai,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",2019-01-01
Oyo,Hospitality,Series A,693000000,Gurugram,Provides rooms for comfortable stay,2019-01-01
GoMechanic,Automobile & Technology,Series B,5000000,Delhi,Find automobile repair and maintenance service providers,2019-01-01
Spinny,Automobile,Series A,50000000,Delhi,Online car retailer,2019-01-01
Ess Kay Fincorp,Banking,Series A,33000000,Rajasthan,Organised Non-Banking Finance Company,2019-01-01
Aqgromalin,Agritech,Series A,200000,Chennai,Cultivating Ideas for Profit,2020-01-01
Krayonnz,Edtech,Pre-Seed,100000,Bangalore,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2020-01-01
PadCare Labs,Hygiene Management,Pre-Seed,0,Pune,Converting bio-hazardous waste to harmless waste,2020-01-01
NCOME,Escrow,Series A,400000,New Delhi,Escrow-as-a-service platform,2020-01-01
Gramophone,Agritech,Series A,340000,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2020-01-01
qZense,Agritech,Seed,600000,Bangalore,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2020-01-01
MyClassboard,Edtech,Pre-Series A,600000,Hyderabad,MyClassboard is a full-fledged School / College Management Software.,2020-01-01
Metvy,Networking Platform,Pre-Series,0,Gurgaon,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2020-01-01
Rupeek,Fintech,Series C,45000000,Bangalore,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",2020-01-01
Gig India,Crowdsourcing,Pre-Series A,1000000,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2020-01-01
Slurrp Farm,Food & Bevarages,Series A,2000000,Gurgaon,Slurrp Farm is a children health food brand.,2020-01-01
Medfin,Healthtech,Series A,0,Bangalore,Medfin is a Discovery platform for medical procedures and financing.,2020-01-01
MasterG,Fashion Startup,Series A,0,New Delhi,MasterG is a design and skill development organisation.,2020-01-01
Brila 91,Food & Bevarages,Series A,1200000,New Delhi,Bira 91 is a craft beer company.,2020-01-01
FoodyBuddy,Food Industry,Series A,600000,Belgaum,FoodyBuddy is a online food delivery portal,2020-01-01
Zomato,Food Industry,Series A,660000000,Gurgaon,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,2020-01-01
OurEye.ai,Virtual Auditing Startup,Series A,120000,Bangalore,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020-01-01
Shiprocket,E-Commerce,Series C,7500000,New Delhi,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,2020-01-01
Pine Labs,Fintech,Series A,0,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,2020-01-01
Moneyboxx Finance,Fintech,Series A,1000000,New Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2020-01-01
EWar,Games,Pre-Series A,0,Bangalore,EWar Games is a e-sports and real-time gaming start-up.,2020-01-01
SucSEED Indovation,Fintech,Series A,5000000,Hyderabad,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",2020-01-01
TaxBuddy.com,Fintech,Series A,1000000,Mumbai,TaxBuddy for any tax related issues.,2020-01-01
Awign Enterprises,Work Fulfillment,Series A,500000,Bangalore,Operations and manpower outsourcing startup,2020-01-01
Circle of Angels,Fintech,Series A,3000000,Gurgaon,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,2020-01-01
CoinDCX,Fintech,Series B,10000000,Mumbai,CoinDCX is a company that specializes in crypto-enabled financial services.,2020-01-01
Glance,Ai,Series A,145000000,Bangalore,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020-01-01
VerSe Innovation,Telecommunication,Series A,100000000,Bangalore,Owner of Dailyhunt App and I-Pay,2020-01-01
Voosh,Food Industry,Pre-Seed,0,Bangalore,Building India's largest digital food service brand,2020-01-01
Delhivery,E-Commerce,Series A,0,Gurgaon,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,2020-01-01
Arya,Agritech,Series B,21000000,Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",2020-01-01
Pickrr,Logistics,Series A,4000000,New Delhi,Pickrr is an on-demand first mile logistics company,2020-01-01
PhonePe,Fintech,Series A,20000000,Andheri,PhonePe is a mobile payment application that enables users to transfer money instantly.,2020-01-01
Countingwell,Edtech,Pre-Series A,1000000,Bangalore,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",2020-01-01
Callify.ai,Tech,Seed,560000,Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2020-01-01
Hudle,Sports,Pre-Series A,0,New Delhi,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,2020-01-01
Cover it Up,E-Commerce,Seed,400000,Chennai,Online portal that churns out high quality products,2020-01-01
BiteSpeed,E-Commerce,Seed,275000,Gurgaon,Chat-based commerce for E-commerce brands,2020-01-01
WakeFit,Retail,Series B,20000000,Bangalore,Wakefitkart is a mattress manufacturing company,2020-01-01
Sreyas Holistic Remedies,Medtech,Series A,1000000,Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2020-01-01
Fleeca India,Tyre Management,Series A,0,Jaipur,FLEECA is a Tyre Care Provider company.,2020-01-01
M1xchange,Fintech,Series A,4500000,Gurgaon,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2020-01-01
Exotel,Cloud Company,Series A,5000000,Bangalore,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2020-01-01
PagarBook,Software Company,Series A,15000000,Bangalore,"Staff's Salary, Work & Attendance Management Application",2020-01-01
PointOne Capital,Venture Capitalist,Series A,0,Bangalore,Pre-seed/Seed focussed VC investor,2020-01-01
Ayana,Renewable Player,Series A,390000000,Bangalore,Ayana Renewable Power is an Indian renewable energy platform,2020-01-01
Fisdom,Fintech,Series A,7000000,Bangalore,Fisdom is a fintech company that offers investment advisory services through an application.,2020-01-01
Tinker Coders,Edtech,Seed,0,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020-01-01
Infinite Uptime,Iot,Series B,5100000,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2020-01-01
HappyLocate,Saas,Pre-Series A,500000,Bangalore,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2020-01-01
PhonePe,Fintech,Series A,700000000,New Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2020-01-01
Loop Health,Healthtech,Seed,2300000,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2020-01-01
NeoDocs,Healthtech,Pre-Seed,0,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020-01-01
The ePlane,Aero Company,Seed,0,Chennai,Transforming the mobility landscape using aerial transport.,2020-01-01
TagMango,Marketing Company,Seed,700000,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020-01-01
The New Shop,Retail,Seed,500000,New Delhi,The New Shop is a chain of high speed retail stores,2020-01-01
MobiKwik,Fintech,Series A,7000000,Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2020-01-01
DebugsBunny,Edtech,Series A,100000,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020-01-01
BHIVE Investech,Co-Working Startup,Seed,1000000,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020-01-01
Rivigo,Logistics,Series A,19000000,Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2020-01-01
ZipLoan,Finance Company,Series A,3000000,New Delhi,ZipLoan is a online lending platform,2020-01-01
Swipez,Fintech,Series A,0,Pune,Swipez is a payment collection platform.,2020-01-01
Humus,Agritech,Series A,0,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,2020-01-01
Artivatic.ai,Tech,Series A,0,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2020-01-01
Prescinto,Solar Monitoring Company,Seed,0,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2020-01-01
Toppeq,Saas,Seed,0,Mumbai,SaaS-based equity management platform,2020-01-01
Bolo Indya,Video Sharing Platform,Series A,400000,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020-01-01
Bombay Play,Games,Seed,1000000,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,2020-01-01
FreshToHome,E-Commerce,Series A,0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020-01-01
KIKO TV,Video Streaming Platform,Seed,0,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020-01-01
Atomberg Technologies,Consumer Appliances,Series B,9000000,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020-01-01
DealShare,E-Commerce,Series C,21000000,Jaipur,DealShare is a Social Commerce Startup,2020-01-01
Smallcase,Fintech,Series A,0,Bangalore,Changing how India invests in equities,2020-01-01
CueMath,Edtech,Series C,40000000,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020-01-01
Gamerji,Games,Seed,0,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020-01-01
5C Network,Healthtech,Pre-Series A,1200000,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020-01-01
Ethereum Push Notification Service,Blockchain,Seed,750000,Mumbai,EPNS is a decentralized notification protocol,2020-01-01
Mihup,Conversational Ai Platform,Series A,1500000,Kolkata,Intelligence-based personal mobile assistant app,2020-01-01
RuralBasket,E-Commerce,Series A,500000,Tirunelveli,Naturally grown and healthy products directly from farmers.,2020-01-01
WayCool Foods,Agritech,Debt,7800000,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020-01-01
Infra.Market,Real Estate,Series B,20000000,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020-01-01
Info Edge Venture,Venture Capitalist,Series A,50000000,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020-01-01
Clovia,E-Commerce,Pre-Series C,4000000,Noida,Clovia is the online lingerie retailer,2020-01-01
Codingal,Edtech,Seed,560000,Bangalore,Coding education platform for K-12 students,2020-01-01
CRED,Finance Company,Series C,80000000,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020-01-01
Vistaar Finance,Finance Company,Series A,30000000,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020-01-01
Let's Dive,Saas Platform,Series A,1700000,Bangalore,A platform for remote employee engagement and building team culture,2020-01-01
Habitat,Edtech,Seed,600000,Bangalore,"Habitat, a social learning edtech platform for civil service aspirants",2020-01-01
SAWO Labs,Saas Platform,Seed,600000,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020-01-01
Signzy,Ai,Series A,3000000,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020-01-01
KopyKitab,Edtech,Series A,0,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020-01-01
Kyt,Edtech,Series A,2500000,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020-01-01
Raskik,Fusion Beverages,Pre-Series A,1000000,Bangalore,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020-01-01
GetWork,Hr Tech,Pre-Seed,40000,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020-01-01
Mobile Premier League (MPL),Games,Series B,500000,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020-01-01
Pravasirojgar,Job Portal,Series A,33000000,Bangalore,Initiative for blue-collar job workers,2020-01-01
Omatra Hotels,Hospitality,Seed,0,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020-01-01
Awign,Job Portal,Pre-Series B,0,Bangalore,Operations and manpower outsourcing startup,2020-01-01
NewsReach,Digital Media,Seed,1500000,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020-01-01
Cashfree,Fintech,Series B,35000000,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020-01-01
Credgenics,Fintech,Pre-Series A,3000000,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020-01-01
GeoIQ,Ai,Seed,300000,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020-01-01
Country Delight,Dairy Startup,Series C,25000000,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020-01-01
Quintype,Content Management,Series A,3500000,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020-01-01
CARS24,Retail,Series E,200000000,Haryana,CARS24 is an India-based platform for selling used cars.,2020-01-01
Astrogate Labs,Spacetech,Series A,0,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2020-01-01
Power Gummies,Healthtech,Bridge,0,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020-01-01
Cityflo,Logistics & Supply Chain,Series A,7000000,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020-01-01
AlgoBulls,Trading Platform,Series A,200000,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020-01-01
Credgenics,Fintech,Pre-Series A,3000000,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020-01-01
Inntot,Tech,Series A,0,Kerala,"Inntot Technologies, is a technology driven company.",2020-01-01
Ensuredit,Fintech,Pre-Series A,300000,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020-01-01
Shipsy,Ai Company,Series A,6000000,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020-01-01
ERPNext,Tech,Series A,1000000,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020-01-01
LightSpeedAI,Photonics Startup,Series A,0,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2020-01-01
Grip Invest,Fintech,Pre-Series A,0,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020-01-01
Unacademy,Edtech,Series A,0,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020-01-01
Yellow Classes,Edtech,Pre-Series A,1300000,Gurugram,New-age fun-learning platform for kids.,2020-01-01
Plum,Healthtech,Series A,4100000,Bangalore,High quality health insurance and health benefits,2020-01-01
STAGE,Entertainment,Series A,1000000,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020-01-01
Nykaa,Cosmetics,Series A,0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020-01-01
Kaagaz Scanner,Scanning App,Series A,575000,Bangalore,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020-01-01
NIRA,Fintech,Series A,1000000,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020-01-01
Prolixr,Skincare Startup,Seed,0,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020-01-01
Byju's,Edtech,Series A,200000000,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020-01-01
DaMENSCH,E-Commerce,Series A,6000000,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020-01-01
Country Delight,Food And Beverages,Series C,25000000,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020-01-01
SignalX,Ai,Seed,800000,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020-01-01
Lancify,Edtech,Series A,300000,Bangalore,Lancify is building the world's strongest young workforce,2020-01-01
Krimanshi,Biotechnology Company,Seed,600000,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020-01-01
Instoried,Ai,Pre-Series A,1000000,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020-01-01
PlayerzPot,Games,Series A,3000000,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020-01-01
Instamojo,Fintech,Series A,0,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020-01-01
Turtlemint,Healthtech,Series A,30000000,Mumbai,Turtlemint has built Indian personalized insurance platform,2020-01-01
Arata,E-Commerce,Pre-Series A,1000000,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020-01-01
MPL,Games,Series A,5000000,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020-01-01
True Balance,Fintech,Series A,28000000,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020-01-01
Thrive,Foodtech,Pre-Series A,0,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020-01-01
Kitchens Centre,Proptech,Pre-Series A,0,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020-01-01
Prescribe,Healthtech,Series A,100000,Chennai,Provide online services to patients by leveraging WhatsApp.,2020-01-01
Nepra,Cleantech,Series C,18000000,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020-01-01
inFeedo,Saas,Series A,3200000,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020-01-01
Shilpa Sciences,Healthtech,Pre-Series A,0,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020-01-01
Arzooo,Tech,Series A,0,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020-01-01
MindTickle,Saas Platform,Debt,100000000,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020-01-01
Slice,Fintech,Debt,5000000,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020-01-01
Rapawalk,E-Commerce,Seed,300000,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020-01-01
Oga Fit's,Fitness Startup,Pre-Series A,0,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020-01-01
